"Model","year","N","N_sd","p1","p2","p3","p4","p5","alpha","alpha_sd","nbErr"
"Yoshizaki",6,15.1048341037398,0.7487534335631,0.657691695745835,0.598514608593585,0.719719878648076,0.534854475017492,0.600733275049899,NA,NA,NA
"Yoshizaki",7,20.4207153962928,1.39589610981816,0.460372138681492,0.55666959937304,0.703527926911418,0.554083068310545,0.5559208172155,NA,NA,NA
"Yoshizaki",8,14.7403887846385,0.533029254597108,0.728367364559888,0.731856835773537,0.664299707095567,0.666196924089808,0.484293177305557,NA,NA,NA
"Yoshizaki",10,15.2103238833967,0.181923438244364,0.817814388333048,0.640749377499474,0.877586182320233,0.760271614351728,0.639313149957469,NA,NA,NA
"Yoshizaki",11,23.5955711632336,0.863060006040048,0.557228460650631,0.596539181715021,0.514614246877454,0.638152881278555,0.805994303888243,NA,NA,NA
"Yoshizaki",12,18.3931639734526,0.289681845182627,0.493059772949725,0.738917105229162,0.590734431640578,0.943285798356623,0.737795984294045,NA,NA,NA
"LMM2",6,16.1335,0.375164129498052,1.10099010117107,1.50960633815404,1.63702215874928,1.64325348411643,1.46014339211939,0.944007921922532,0.0207163290930705,5.88
"LMM2",7,22.6525,0.859134917462445,0.510370789687829,1.48429192987281,1.35318507230171,1.45017341984548,1.11201755384695,0.938122293037648,0.0207340490869666,7.455
"LMM2",8,14.2705,0.54173470282429,1.04889692707085,1.12891936003997,1.575044475507,1.57760153894684,1.30292413891631,0.909243757256133,0.0292716069887988,7.773
"LMM2",10,16.092,0.312385646911311,1.70495126581747,1.28000805619959,2.29128448059663,1.05966828868363,1.57034509584186,0.95492102268291,0.0182400464935718,4.9165
"LMM2",11,23.5505,0.775725869951916,0.944752868060064,0.863893480601728,1.17957037613996,1.52641136999868,1.35277043474097,0.974635154690348,0.0143515185330892,2.5415
"LMM2",12,18.0895,0.302548372593342,0.888940148896617,1.62059615121008,1.82735690242784,2.36672604810784,1.88027729618729,0.956736321367212,0.0162428330772693,5.915
"Mt",6,21.6815,0.865119625244389,0.493640422052826,0.463548233109738,0.59111545701377,0.467152937814786,0.508441779661056,NA,NA,NA
"Mt",7,30.5285,1.43185643708726,0.353598837944197,0.461068715094295,0.58604883581216,0.463789356888119,0.397733681591309,NA,NA,NA
"Mt",8,20.4335,0.686158259134355,0.557354018279668,0.537695758759621,0.489655973433587,0.622505491929571,0.491087267797332,NA,NA,NA
"Mt",10,18.0575,0.237111494724455,0.699393858459504,0.596981937534735,0.850132391010451,0.64897615033565,0.550973936172352,NA,NA,NA
"Mt",11,24.1535,0.418360206797104,0.534977359276235,0.570716601486236,0.504773511798819,0.612024991833123,0.842465031045331,NA,NA,NA
"Mt",12,21.0685,0.262377916535563,0.436771495986664,0.653805241926496,0.564127816233884,0.867278705844253,0.6934071307668,NA,NA,NA
